"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"<0",23,"existing paid","radio/tv",2318,"<100","4<=X<7",3,"female div/dep/mar","none",3,"life insurance",27,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"<0",12,"existing paid","retraining",902,"<100","4<=X<7",4,"male mar/wid","none",4,"life insurance",21,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",18,"no credits/all paid","new car",1442,"<100","4<=X<7",4,"male single","none",4,"no known property",32,"stores","for free",2,"unskilled resident",2,"none","yes","bad"
"0<=X<200",21,"critical/order existing credit","other",1216,"100<=X<500","<1",4,"male div/sep","none",4,"life insurance",31,"bank","own",2,"skilled",2,"none","yes","bad"
"<0",9,"existing paid","new car",654,"<100","1<=X<4",4,"male single","none",3,"car",28,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",24,"existing paid","new car",2718,"<100","1<=X<4",3,"female div/dep/mar","none",4,"life insurance",20,"stores","rent",1,"unskilled resident",1,"yes","yes","bad"
"0<=X<200",44,"no credits/all paid","domestic appliance",3832,"100<=X<500","1<=X<4",4,"male mar/wid","none",3,"life insurance",36,"stores","for free",1,"unemp/unskilled non res",2,"none","yes","bad"
"<0",48,"critical/order existing credit","used car",6331,"<100",">=7",4,"male single","none",4,"no known property",46,"stores","for free",2,"skilled",1,"yes","yes","bad"
">=200",12,"existing paid","education",720,"500<=X<10000","<1",4,"male mar/wid","none",4,"car",40,"bank","own",1,"unskilled resident",2,"none","yes","bad"
"0<=X<200",12,"existing paid","other",893,"<100","<1",4,"male mar/wid","none",4,"car",34,"bank","own",1,"unemp/unskilled non res",2,"none","yes","bad"
"0<=X<200",12,"existing paid","furniture/equipment",2762,"no known savings",">=7",1,"female div/dep/mar","none",2,"life insurance",25,"bank","own",1,"skilled",1,"yes","yes","bad"
"<0",9,"existing paid","new car",1422,"<100","<1",3,"male single","none",2,"no known property",27,"stores","for free",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"0<=X<200",12,"existing paid","furniture/equipment",685,"<100","1<=X<4",3,"male mar/wid","none",3,"car",29,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"<0",12,"no credits/all paid","new car",622,"<100","1<=X<4",4,"female div/dep/mar","none",3,"real estate",25,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
">=200",10,"delayed previously","education",1977,"<100","<1",2,"female div/dep/mar","co applicant",2,"car",20,"stores","own",2,"skilled",1,"none","yes","bad"
"<0",18,"existing paid","furniture/equipment",1129,"<100",">=7",4,"female div/dep/mar","none",2,"car",33,"bank","own",1,"skilled",1,"none","yes","bad"
"<0",28,"existing paid","furniture/equipment",3346,"<100","<1",4,"male mar/wid","none",2,"car",35,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",36,"delayed previously","business",2145,"<100","4<=X<7",4,"male single","none",1,"car",24,"stores","own",2,"skilled",1,"yes","yes","bad"
"<0",24,"no credits/all paid","new car",1357,"no known savings","<1",4,"male single","none",3,"car",40,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
">=200",18,"critical/order existing credit","furniture/equipment",2775,"500<=X<10000","4<=X<7",2,"male mar/wid","none",2,"car",32,"bank","own",2,"skilled",1,"none","yes","bad"
"no checking",12,"existing paid","new car",1123,"500<=X<10000","1<=X<4",4,"female div/dep/mar","none",4,"car",29,"stores","rent",1,"unskilled resident",1,"none","yes","bad"
"<0",32,"delayed previously","repairs",11947,"500<=X<10000","4<=X<7",1,"female div/dep/mar","none",1,"life insurance",33,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",36,"critical/order existing credit","used car",9613,"<100","4<=X<7",4,"male mar/wid","none",4,"car",24,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",24,"critical/order existing credit","furniture/equipment",4774,"<100","4<=X<7",2,"male div/sep","guarantor",4,"car",28,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"0<=X<200",16,"critical/order existing credit","furniture/equipment",1926,"<100","4<=X<7",3,"male single","none",2,"no known property",33,"stores","own",2,"unskilled resident",1,"none","yes","bad"
"0<=X<200",9,"critical/order existing credit","education",1627,"<100",">=7",2,"female div/dep/mar","none",3,"car",34,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",48,"critical/order existing credit","used car",6135,"<100",">=7",4,"female div/dep/mar","none",4,"no known property",58,"stores","for free",2,"unskilled resident",1,"none","yes","bad"
"0<=X<200",47,"existing paid","other",9224,"<100","1<=X<4",3,"male single","co applicant",2,"life insurance",27,"bank","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
">=200",20,"existing paid","furniture/equipment",1284,">=1000","1<=X<4",3,"female div/dep/mar","none",4,"life insurance",28,"stores","rent",1,"skilled",1,"none","yes","bad"
">=200",11,"delayed previously","education",1126,"500<=X<10000","1<=X<4",4,"female div/dep/mar","none",4,"car",30,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
">=200",36,"critical/order existing credit","repairs",7578,">=1000",">=7",4,"male div/sep","none",2,"no known property",49,"bank","for free",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"<0",40,"delayed previously","radio/tv",4393,"<100","1<=X<4",3,"male single","none",2,"car",26,"bank","own",2,"high qualif/self emp/mgmt",2,"yes","yes","bad"
"0<=X<200",12,"existing paid","furniture/equipment",1295,"<100","4<=X<7",3,"female div/dep/mar","none",1,"car",25,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",40,"critical/order existing credit","education",5998,"<100","1<=X<4",4,"male single","none",3,"no known property",27,"bank","own",1,"skilled",1,"yes","yes","bad"
"<0",48,"existing paid","used car",10297,"<100","4<=X<7",4,"male single","none",4,"no known property",39,"stores","for free",3,"skilled",1,"yes","yes","bad"
"<0",11,"existing paid","other",664,"100<=X<500","1<=X<4",4,"male mar/wid","none",2,"car",24,"stores","own",1,"skilled",1,"none","yes","bad"
">=200",17,"existing paid","new car",1384,"<100","1<=X<4",3,"female div/dep/mar","none",2,"life insurance",30,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",60,"no credits/all paid","other",14782,"100<=X<500",">=7",3,"female div/dep/mar","none",4,"no known property",60,"bank","for free",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",19,"delayed previously","domestic appliance",1215,"<100","1<=X<4",4,"male mar/wid","none",3,"no known property",48,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",25,"existing paid","furniture/equipment",1230,"<100","1<=X<4",3,"female div/dep/mar","none",4,"life insurance",24,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",18,"no credits/all paid","business",4165,"<100","1<=X<4",2,"male single","none",2,"car",36,"stores","own",2,"skilled",2,"none","yes","bad"
">=200",48,"critical/order existing credit","new car",10160,"500<=X<10000","1<=X<4",2,"male single","none",2,"no known property",43,"bank","for free",1,"skilled",1,"none","yes","bad"
">=200",18,"existing paid","business",4163,"500<=X<10000","1<=X<4",2,"male mar/wid","none",2,"car",36,"stores","own",2,"skilled",1,"none","yes","bad"
"0<=X<200",16,"critical/order existing credit","furniture/equipment",1926,"<100","4<=X<7",3,"male single","none",2,"no known property",33,"stores","own",2,"unskilled resident",1,"none","yes","bad"
"no checking",24,"existing paid","radio/tv",3621,"100<=X<500",">=7",2,"male single","none",4,"car",31,"stores","own",2,"skilled",1,"none","yes","bad"
"<0",48,"existing paid","new car",7763,"<100",">=7",4,"male single","none",4,"no known property",42,"bank","for free",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"<0",12,"existing paid","radio/tv",727,"100<=X<500","<1",4,"male mar/wid","none",3,"no known property",33,"stores","own",1,"unskilled resident",1,"yes","yes","bad"
">=200",19,"delayed previously","business",2173,"<100","1<=X<4",4,"male mar/wid","none",2,"car",30,"bank","for free",1,"skilled",1,"yes","yes","bad"
"<0",21,"critical/order existing credit","new car",3966,"<100","<1",1,"female div/dep/mar","none",4,"no known property",33,"bank","own",3,"skilled",1,"none","yes","bad"
"<0",24,"no credits/all paid","radio/tv",1546,"<100","4<=X<7",4,"male single","guarantor",4,"car",24,"bank","rent",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",14,"critical/order existing credit","new car",1542,"<100","4<=X<7",2,"male mar/wid","none",2,"life insurance",31,"bank","own",1,"skilled",1,"none","yes","bad"
"<0",25,"existing paid","furniture/equipment",2365,"100<=X<500",">=7",1,"female div/dep/mar","none",1,"life insurance",32,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",43,"existing paid","other",1844,"<100","1<=X<4",4,"male mar/wid","none",4,"life insurance",26,"stores","for free",1,"skilled",1,"yes","yes","bad"
"<0",29,"existing paid","education",1978,">=1000","<1",3,"male mar/wid","guarantor",3,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"0<=X<200",8,"no credits/all paid","furniture/equipment",937,"100<=X<500","<1",2,"female div/dep/mar","none",2,"car",30,"stores","own",2,"unemp/unskilled non res",1,"none","yes","bad"
"0<=X<200",12,"existing paid","furniture/equipment",1228,"<100","1<=X<4",3,"female div/dep/mar","none",4,"life insurance",24,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",12,"critical/order existing credit","new car",694,"<100",">=7",4,"male single","none",3,"life insurance",39,"stores","own",2,"skilled",1,"none","yes","bad"
"<0",12,"existing paid","new car",2579,"<100","<1",4,"male single","none",1,"real estate",33,"stores","own",1,"unskilled resident",2,"none","yes","bad"
"0<=X<200",36,"critical/order existing credit","other",4920,"<100","1<=X<4",2,"male single","guarantor",2,"no known property",31,"stores","for free",2,"skilled",1,"none","yes","bad"
">=200",32,"existing paid","new car",3355,"<100","1<=X<4",4,"female div/dep/mar","none",2,"car",29,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",24,"existing paid","new car",1370,">=1000","1<=X<4",4,"female div/dep/mar","none",4,"no known property",25,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",25,"no credits/all paid","education",1837,"<100","4<=X<7",4,"female div/dep/mar","none",4,"life insurance",34,"bank","for free",1,"unemp/unskilled non res",1,"none","yes","bad"
"no checking",36,"existing paid","furniture/equipment",3349,"<100","1<=X<4",4,"female div/dep/mar","none",2,"car",28,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",48,"no credits/all paid","business",7688,"<100","4<=X<7",2,"female div/dep/mar","guarantor",4,"car",37,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
">=200",13,"existing paid","new car",1386,"500<=X<10000","1<=X<4",2,"female div/dep/mar","none",2,"life insurance",27,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",36,"delayed previously","business",7980,"no known savings","<1",4,"male single","none",4,"car",27,"stores","rent",2,"skilled",1,"yes","yes","bad"
"0<=X<200",13,"no credits/all paid","retraining",5136,"<100","<1",2,"female div/dep/mar","none",4,"life insurance",68,"bank","for free",1,"high qualif/self emp/mgmt",2,"none","yes","bad"
">=200",18,"critical/order existing credit","furniture/equipment",2775,"500<=X<10000","4<=X<7",2,"male mar/wid","none",2,"car",32,"bank","own",2,"skilled",1,"none","yes","bad"
"<0",24,"existing paid","radio/tv",2439,"<100","<1",4,"female div/dep/mar","none",4,"real estate",35,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",23,"critical/order existing credit","other",1654,"<100","4<=X<7",4,"male div/sep","none",2,"car",34,"stores","own",1,"unskilled resident",1,"none","yes","bad"
">=200",19,"delayed previously","business",2173,"<100","1<=X<4",4,"male mar/wid","none",2,"car",30,"bank","for free",1,"skilled",1,"yes","yes","bad"
"no checking",36,"critical/order existing credit","furniture/equipment",7127,"<100","<1",2,"female div/dep/mar","none",4,"life insurance",23,"stores","rent",2,"skilled",1,"yes","yes","bad"
"0<=X<200",21,"critical/order existing credit","other",1216,"100<=X<500","<1",4,"male div/sep","none",4,"life insurance",31,"bank","own",2,"skilled",2,"none","yes","bad"
"0<=X<200",19,"delayed previously","new car",1440,"500<=X<10000","4<=X<7",3,"female div/dep/mar","none",4,"car",25,"stores","own",2,"skilled",1,"none","yes","bad"
"<0",30,"existing paid","furniture/equipment",2406,"<100","4<=X<7",4,"female div/dep/mar","none",4,"real estate",23,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",48,"existing paid","new car",3931,"<100","4<=X<7",4,"male single","none",4,"no known property",46,"stores","for free",1,"skilled",2,"none","yes","bad"
"<0",12,"delayed previously","new car",762,"<100","4<=X<7",4,"male mar/wid","none",2,"no known property",27,"bank","own",1,"skilled",1,"none","yes","bad"
"<0",48,"critical/order existing credit","used car",6143,"<100",">=7",4,"female div/dep/mar","none",4,"no known property",58,"stores","for free",2,"unskilled resident",1,"none","yes","bad"
"<0",18,"existing paid","used car",7511,"no known savings",">=7",1,"male single","none",4,"life insurance",51,"stores","for free",1,"skilled",2,"yes","yes","bad"
"0<=X<200",22,"delayed previously","other",1835,"<100","1<=X<4",3,"female div/dep/mar","none",2,"no known property",27,"bank","for free",2,"skilled",1,"none","yes","bad"
"0<=X<200",24,"delayed previously","furniture/equipment",2064,"<100","unemployed",3,"female div/dep/mar","none",2,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",15,"delayed previously","domestic appliance",2187,"<100","1<=X<4",3,"male mar/wid","none",2,"life insurance",27,"bank","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",36,"delayed previously","education",11853,"<100","4<=X<7",2,"male single","guarantor",4,"car",34,"stores","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"<0",29,"existing paid","furniture/equipment",2409,"<100","4<=X<7",4,"female div/dep/mar","none",4,"real estate",24,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",21,"no credits/all paid","new car",5003,"no known savings","1<=X<4",1,"female div/dep/mar","none",4,"life insurance",29,"bank","own",2,"skilled",1,"none","yes","bad"
"<0",12,"existing paid","new car",1228,"<100","1<=X<4",4,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",24,"critical/order existing credit","furniture/equipment",4774,"<100","4<=X<7",2,"male div/sep","guarantor",4,"car",28,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
">=200",25,"critical/order existing credit","business",8610,"<100","4<=X<7",2,"male single","none",2,"car",30,"bank","own",2,"skilled",1,"none","yes","bad"
"0<=X<200",27,"no credits/all paid","business",8318,"<100",">=7",2,"female div/dep/mar","none",4,"no known property",42,"stores","for free",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",21,"existing paid","business",2767,"100<=X<500",">=7",4,"male div/sep","none",2,"car",61,"bank","rent",2,"unskilled resident",1,"none","yes","bad"
"<0",24,"existing paid","radio/tv",1282,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",2,"car",32,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"<0",17,"no credits/all paid","furniture/equipment",1195,">=1000",">=7",2,"female div/dep/mar","co applicant",4,"no known property",32,"stores","own",2,"skilled",1,"none","yes","bad"
"0<=X<200",15,"existing paid","radio/tv",802,"<100",">=7",4,"male single","none",3,"car",37,"stores","own",1,"skilled",2,"none","yes","bad"
"0<=X<200",19,"delayed previously","new car",1332,"<100",">=7",3,"male single","none",2,"life insurance",35,"stores","for free",2,"skilled",2,"none","yes","bad"
"<0",27,"delayed previously","new car",5154,"<100","<1",3,"male div/sep","none",3,"car",28,"bank","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"0<=X<200",24,"delayed previously","furniture/equipment",4796,"<100","4<=X<7",2,"male mar/wid","co applicant",3,"car",29,"bank","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",36,"critical/order existing credit","other",4920,"<100","1<=X<4",2,"male single","guarantor",2,"no known property",31,"stores","for free",2,"skilled",1,"none","yes","bad"
"<0",9,"existing paid","new car",654,"<100","1<=X<4",4,"male single","none",3,"car",28,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",13,"no credits/all paid","retraining",5136,"<100","<1",2,"male single","none",4,"life insurance",68,"bank","for free",1,"high qualif/self emp/mgmt",2,"none","yes","bad"
"no checking",21,"delayed previously","business",2580,"500<=X<10000","<1",4,"male single","none",2,"real estate",41,"bank","own",1,"unskilled resident",2,"none","yes","bad"
"<0",12,"existing paid","education",795,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",53,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",47,"existing paid","new car",6316,"<100","4<=X<7",4,"male single","none",4,"life insurance",37,"stores","for free",1,"skilled",1,"none","yes","bad"
"<0",12,"no credits/all paid","new car",1082,"<100","1<=X<4",4,"male single","none",4,"car",48,"bank","own",2,"skilled",1,"none","yes","bad"
"no checking",36,"existing paid","furniture/equipment",10974,"<100","unemployed",4,"female div/dep/mar","none",2,"car",26,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",48,"existing paid","radio/tv",6758,"<100","1<=X<4",3,"female div/dep/mar","none",2,"car",31,"stores","own",1,"skilled",1,"yes","yes","bad"
"<0",15,"existing paid","domestic appliance",1275,"no known savings","1<=X<4",4,"female div/dep/mar","none",2,"car",24,"stores","rent",1,"skilled",1,"none","yes","bad"
"0<=X<200",24,"existing paid","radio/tv",2039,"<100","<1",1,"male mar/wid","none",1,"life insurance",22,"stores","own",1,"skilled",1,"yes","yes","bad"
"0<=X<200",35,"existing paid","furniture/equipment",3445,"500<=X<10000","<1",4,"male mar/wid","guarantor",2,"car",38,"stores","own",1,"skilled",2,"none","yes","bad"
"0<=X<200",21,"existing paid","business",1188,"<100",">=7",2,"female div/dep/mar","none",4,"life insurance",39,"stores","own",1,"skilled",2,"none","yes","bad"
"<0",23,"existing paid","radio/tv",2318,"<100","4<=X<7",3,"female div/dep/mar","none",3,"life insurance",27,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"<0",29,"existing paid","new car",1839,"<100","4<=X<7",4,"female div/dep/mar","none",3,"life insurance",30,"stores","own",1,"skilled",1,"yes","yes","bad"
"0<=X<200",21,"delayed previously","furniture/equipment",1923,">=1000","<1",4,"female div/dep/mar","none",3,"no known property",28,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"0<=X<200",54,"no credits/all paid","business",15945,"<100","<1",3,"male single","none",4,"no known property",58,"stores","rent",1,"skilled",1,"yes","yes","bad"
"0<=X<200",57,"existing paid","new car",14066,"<100","4<=X<7",4,"male single","none",2,"no known property",31,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",18,"critical/order existing credit","repairs",1190,"<100","unemployed",2,"female div/dep/mar","none",4,"no known property",55,"stores","for free",3,"unemp/unskilled non res",2,"none","yes","bad"
"<0",11,"existing paid","radio/tv",732,"100<=X<500","4<=X<7",4,"male div/sep","none",3,"no known property",32,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"<0",25,"delayed previously","new car",1912,"<100","<1",4,"male single","none",3,"no known property",58,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"0<=X<200",47,"existing paid","education",6316,"<100","4<=X<7",4,"male single","none",4,"life insurance",37,"stores","for free",1,"skilled",1,"none","yes","bad"
"0<=X<200",36,"existing paid","used car",9398,"<100","<1",1,"male mar/wid","none",4,"car",28,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
">=200",18,"critical/order existing credit","radio/tv",1551,"<100","<1",4,"male single","guarantor",4,"life insurance",40,"bank","for free",2,"skilled",2,"none","yes","bad"
"<0",24,"no credits/all paid","other",1358,"no known savings",">=7",4,"male single","none",3,"car",40,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",48,"critical/order existing credit","used car",6143,"<100",">=7",4,"female div/dep/mar","none",4,"no known property",58,"stores","for free",2,"unskilled resident",1,"none","yes","bad"
"0<=X<200",24,"existing paid","radio/tv",3092,"100<=X<500","<1",3,"male mar/wid","none",2,"car",22,"stores","rent",1,"skilled",1,"yes","yes","bad"
"0<=X<200",48,"existing paid","new car",10155,"<100","4<=X<7",3,"male div/sep","none",3,"life insurance",34,"stores","for free",2,"skilled",2,"yes","yes","bad"
"no checking",48,"critical/order existing credit","used car",11590,"100<=X<500","1<=X<4",2,"female div/dep/mar","none",4,"car",24,"bank","rent",2,"unskilled resident",1,"none","yes","bad"
"0<=X<200",57,"existing paid","new car",14066,"<100","4<=X<7",4,"male single","none",2,"no known property",31,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",21,"critical/order existing credit","education",4693,"500<=X<10000","4<=X<7",2,"male div/sep","none",3,"car",31,"bank","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",36,"delayed previously","domestic appliance",5211,"<100","<1",2,"male div/sep","none",4,"car",42,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",18,"existing paid","furniture/equipment",2472,"<100",">=7",4,"male single","none",1,"car",25,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",18,"delayed previously","furniture/equipment",2040,"<100","1<=X<4",1,"female div/dep/mar","none",4,"no known property",20,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"<0",38,"existing paid","other",6759,"<100","1<=X<4",3,"male single","none",3,"car",44,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",20,"existing paid","new car",1289,">=1000","4<=X<7",4,"female div/dep/mar","none",3,"life insurance",30,"stores","rent",1,"skilled",1,"none","yes","bad"
"no checking",6,"no credits/all paid","new car",783,"no known savings","1<=X<4",1,"male single","guarantor",2,"real estate",26,"stores","own",1,"unskilled resident",2,"none","yes","good"
"no checking",6,"delayed previously","business",1743,"100<=X<500","1<=X<4",1,"male single","none",2,"real estate",34,"stores","own",2,"unskilled resident",1,"none","yes","good"
"no checking",24,"existing paid","furniture/equipment",3972,"<100","4<=X<7",2,"female div/dep/mar","none",4,"life insurance",25,"stores","rent",1,"skilled",1,"yes","yes","good"
"0<=X<200",30,"existing paid","furniture/equipment",3832,"<100","<1",2,"male mar/wid","none",1,"life insurance",22,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",48,"no credits/all paid","new car",8358,"500<=X<10000","<1",1,"female div/dep/mar","none",1,"car",30,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",36,"existing paid","business",5742,"100<=X<500","4<=X<7",2,"male single","none",2,"car",31,"stores","own",2,"skilled",1,"yes","yes","good"
"<0",6,"critical/order existing credit","radio/tv",1957,"<100","4<=X<7",1,"female div/dep/mar","none",4,"car",31,"stores","own",1,"skilled",1,"none","yes","good"
"<0",18,"existing paid","new car",4380,"100<=X<500","1<=X<4",3,"male single","none",4,"car",35,"stores","own",1,"unskilled resident",2,"none","yes","good"
"no checking",36,"existing paid","business",5762,"100<=X<500","4<=X<7",2,"male single","none",2,"car",31,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",39,"existing paid","used car",2569,"500<=X<10000","1<=X<4",4,"male single","none",4,"car",24,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",40,"delayed previously","radio/tv",4454,"<100","1<=X<4",4,"female div/dep/mar","none",4,"real estate",34,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",15,"critical/order existing credit","education",1532,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",3,"car",31,"stores","own",1,"skilled",1,"none","yes","good"
"<0",24,"existing paid","used car",6579,"100<=X<500","unemployed",4,"male single","none",2,"no known property",29,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"0<=X<200",24,"existing paid","new car",3758,"500<=X<10000","unemployed",1,"female div/dep/mar","none",4,"no known property",23,"stores","rent",1,"unemp/unskilled non res",1,"none","yes","good"
"0<=X<200",42,"critical/order existing credit","business",5954,"<100","4<=X<7",2,"female div/dep/mar","none",1,"real estate",41,"bank","own",2,"unskilled resident",1,"none","yes","good"
"0<=X<200",30,"no credits/all paid","furniture/equipment",3496,">=1000","1<=X<4",4,"male single","none",2,"car",34,"stores","own",1,"skilled",2,"yes","yes","good"
"0<=X<200",18,"critical/order existing credit","furniture/equipment",6361,"<100",">=7",2,"male single","none",1,"no known property",41,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",14,"existing paid","business",1410,"500<=X<10000",">=7",1,"male mar/wid","none",2,"real estate",35,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",18,"existing paid","furniture/equipment",1984,"<100","1<=X<4",4,"male single","none",4,"no known property",47,"bank","for free",2,"skilled",1,"none","yes","good"
"no checking",12,"critical/order existing credit","furniture/equipment",1935,"<100",">=7",4,"male single","none",4,"real estate",43,"stores","own",3,"skilled",1,"yes","yes","good"
"no checking",12,"no credits/all paid","furniture/equipment",2759,"<100",">=7",2,"male single","none",4,"life insurance",34,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",6,"critical/order existing credit","retraining",932,"no known savings","4<=X<7",1,"female div/dep/mar","none",3,"life insurance",39,"stores","own",2,"unskilled resident",1,"none","yes","good"
"<0",24,"existing paid","radio/tv",1603,"<100",">=7",4,"female div/dep/mar","none",4,"car",55,"stores","own",1,"skilled",1,"none","yes","good"
">=200",24,"existing paid","radio/tv",1377,"100<=X<500",">=7",4,"female div/dep/mar","none",2,"no known property",47,"stores","for free",1,"skilled",1,"yes","yes","good"
"no checking",6,"existing paid","furniture/equipment",1766,"<100","1<=X<4",1,"male mar/wid","none",2,"life insurance",21,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",12,"existing paid","used car",2445,"no known savings","<1",2,"male mar/wid","none",4,"car",26,"stores","rent",1,"skilled",1,"yes","yes","good"
"0<=X<200",9,"existing paid","education",1199,"<100","4<=X<7",4,"female div/dep/mar","none",4,"life insurance",67,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
">=200",6,"critical/order existing credit","new car",1343,"<100",">=7",1,"male single","none",4,"real estate",46,"stores","own",2,"skilled",2,"none","no","good"
"0<=X<200",18,"existing paid","education",1239,"no known savings","1<=X<4",4,"male single","none",4,"no known property",61,"stores","for free",1,"skilled",1,"none","yes","good"
"no checking",36,"existing paid","radio/tv",3799,"<100","1<=X<4",4,"male single","none",2,"car",28,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",22,"existing paid","new car",2675,"500<=X<10000",">=7",3,"male single","none",4,"car",40,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",1240,"no known savings",">=7",4,"female div/dep/mar","none",2,"real estate",38,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",6,"critical/order existing credit","radio/tv",1237,"100<=X<500","1<=X<4",1,"female div/dep/mar","none",1,"life insurance",27,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",18,"existing paid","radio/tv",1113,"<100","1<=X<4",4,"female div/dep/mar","guarantor",4,"real estate",26,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",6,"existing paid","new car",672,"<100","unemployed",1,"female div/dep/mar","none",4,"real estate",54,"stores","own",1,"unemp/unskilled non res",1,"yes","yes","good"
"<0",12,"critical/order existing credit","radio/tv",385,"<100","4<=X<7",4,"female div/dep/mar","none",3,"real estate",58,"stores","own",3,"unskilled resident",1,"yes","yes","good"
"no checking",18,"critical/order existing credit","new car",1055,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",30,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",21,"existing paid","business",1572,"<100",">=7",4,"male single","none",4,"real estate",36,"bank","own",1,"unskilled resident",1,"none","yes","good"
